STATIONNAME,CLIMATEZONE,CROP,COUNTRY,YA,YP,Source_Type,LONGITUDE,LATITUDE,ELEVATION_METER,AREA_IN_CLIMATEZONE_HA,TOTAL_AREA_HA,NUMBER_OF_CONTRIBUTING_STATIONS,NUMBER_OF_CONTRIBUTING_CLIMATEZONES,Data_Type,MANAGEMENT,CROPCYCLE,HARVESTYEAR,SOWINGDATE,CULTIVARMATURITY,USEDMODEL,Irrigation_Type
Beja,1,Wheat,Tunisia,4.44,5.215,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Wheat,1,1990,11,162.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.54,5.664999999999999,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Wheat,1,1991,11,171.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.89,6.82,Station,9.18,36.73,159,14370,25166,1,5,Merged Data,Single Wheat,1,1992,11,183.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.3,5.68,Station,9.18,36.73,159,14370,25166,3,1,Merged Data,Single Wheat,1,1993,11,158.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.82,6.195,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Wheat,1,1994,11,167.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.51,5.845000000000001,Station,9.18,36.73,159,14370,25166,1,4,Merged Data,Single Wheat,1,1995,11,179.0,WOFOST,1
Beja,1,Wheat,Tunisia,4.58,5.279999999999999,Station,9.18,36.73,159,14370,25166,3,1,Merged Data,Single Wheat,1,1996,11,177.0,WOFOST,1
Beja,1,Wheat,Tunisia,6.64,7.005,Station,9.18,36.73,159,14370,25166,2,5,Merged Data,Single Wheat,1,1997,11,182.0,WOFOST,1
Beja,1,Wheat,Tunisia,6.4,6.385,Station,9.18,36.73,159,14370,25166,1,4,Merged Data,Single Wheat,1,1998,11,157.0,WOFOST,1
Beja,1,Wheat,Tunisia,4.96,5.140000000000001,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Wheat,1,1999,11,170.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.75,6.76,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Wheat,1,2000,11,185.0,WOFOST,1
Beja,1,Wheat,Tunisia,4.86,5.574999999999999,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Wheat,1,2001,11,178.0,WOFOST,1
Beja,1,Wheat,Tunisia,4.6,5.025,Station,9.18,36.73,159,14370,25166,3,3,Merged Data,Single Wheat,1,2002,11,182.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.55,5.965,Station,9.18,36.73,159,14370,25166,2,4,Merged Data,Single Wheat,1,2003,11,182.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.78,6.335,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Wheat,1,2004,11,173.0,WOFOST,1
Beja,1,Wheat,Tunisia,4.36,5.140000000000001,Station,9.18,36.73,159,14370,25166,1,4,Merged Data,Single Wheat,1,2005,11,159.0,WOFOST,1
Beja,1,Wheat,Tunisia,4.57,5.025,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Wheat,1,2006,11,156.0,WOFOST,1
Beja,1,Wheat,Tunisia,6.35,6.46,Station,9.18,36.73,159,14370,25166,2,3,Merged Data,Single Wheat,1,2007,11,181.0,WOFOST,1
Beja,1,Wheat,Tunisia,6.02,6.105,Station,9.18,36.73,159,14370,25166,3,3,Merged Data,Single Wheat,1,2008,11,166.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.73,5.715,Station,9.18,36.73,159,14370,25166,3,5,Merged Data,Single Wheat,1,2009,11,182.0,WOFOST,1
Beja,1,Wheat,Tunisia,6.06,6.275,Station,9.18,36.73,159,14370,25166,1,4,Merged Data,Single Wheat,1,2010,11,184.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.84,6.015000000000001,Station,9.18,36.73,159,14370,25166,3,3,Merged Data,Single Wheat,1,2011,11,178.0,WOFOST,1
Beja,1,Wheat,Tunisia,5.08,5.315,Station,9.18,36.73,159,14370,25166,2,3,Merged Data,Single Wheat,1,2012,11,170.0,WOFOST,1
Beja,1,Barley,Tunisia,4.33,4.545,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Barley,1,1990,11,168.0,WOFOST,1
Beja,1,Barley,Tunisia,5.29,5.955,Station,9.18,36.73,159,14370,25166,2,3,Merged Data,Single Barley,1,1991,11,157.0,WOFOST,1
Beja,1,Barley,Tunisia,5.47,5.64,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Barley,1,1992,11,149.0,WOFOST,1
Beja,1,Barley,Tunisia,5.47,5.845000000000001,Station,9.18,36.73,159,14370,25166,1,5,Merged Data,Single Barley,1,1993,11,169.0,WOFOST,1
Beja,1,Barley,Tunisia,4.52,4.94,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Barley,1,1994,11,159.0,WOFOST,1
