Fertilizer Name;N (%);P (%);K (%);Fertilizer Type;Absorption Rate (%);Price per kg (TND);State;Region of Use in Tunisia;Specific Crop;Crop N;Crop P;Crop K;Application Method;Root Depth (cm);Soil_P;Soil_K;Soil_N;pH;Usage (Dosage)
BIOFERT ORGANIC;15;15;10;Organic;75;2.99;Sidi Bouzid;Central;Corn;142;61;34;Radicular;70;11.6;77.3;21.3;7.286930767432242;7.88
FLOCROP B;15;10;5;Liquid;70;2.34;Bizerte;North;Olive;146;70;40;Radicular and Foliar;80;28.446520598418044;83.06576670595635;46.38557874754839;7.114030877983656;13.93
FERTIMAX 15-15-15;15;15;15;Granular;60;3.23;Sousse;Central;Corn;142;61;34;Soil Application;70;;61.69772330932865;49.1;7.686567908051389;5.0
MOLYBDENUM PLUS;5;10;5;Chemical;79;2.06;Tataouine;South;Tomato;142;33;22;Foliar;45;22.93162734875568;81.817344971649;23.83112975513696;7.663093543410158;15.23
MAP 11-52-0;11;52;0;Liquid;90;3.88;Monastir;Central;Potato;61;62;21;Soil Application;50;12.5;92.3;20.821715360058576;7.82569240692586;46.38
Nutriplusorganic 4-3-3;4;3;3;Organic;60;1.99;Tozeur;South;Barley;127;39;57;Soil Application;55;25.56219952743156;73.59144595074298;13.23233642679549;8.350062966097973;34.53
NUTRIJISA ECOCAL;10;15;15;Organic;63;2.51;Siliana;Central;Olive;146;70;40;Radicular and Foliar;80;15.6;82.4;50.5;7.116654036094954;5.86
FULVOMAX;12;15;10;Granular;65;2.73;Kebili;South;Wheat;41;73;79;Radicular and Foliar;60;21.2;67.7;44.5;8.127657531524425;8.37
BOTAMISOL PRO 80;15;10;10;Chemical;70;2.41;Tunis;North;Potato;61;62;21;Radicular and Foliar;50;26.27264080152972;158.37085857850107;67.5;7.062797353742004;5.0
AGROGOLD 20-20-20;20;20;20;Organic;65;4.48;Kebili;South;Tomato;142;33;22;Foliar;45;20.4;70.80379132150149;44.66443042717889;7.834865426535072;5.51
